index,actor,detail
1000,Michael Palin,No. No. I'm taking him off the jumps. Er* because I've got something lined up for Ron next week that I think is very much more up his street.
1001,John Cleese,Er* what's that?
1002,Michael Palin,Er* Ron is going to eat Chichester Cathedral.
1003,John Cleese,Well* there he goes* Ron Obvious of Neaps End* in an attempt which could make him the first man ever to eat an entire Anglican Cathedral.
1004,Michael Palin,Well* er* I think* David* this is something which Ron and myself are really keen on. Ron is going to tunnel from Godalming here to Java here.
1005,John Cleese,Java.
1006,Michael Palin,Yeah* er* I* I personally think this is going to make Ron a household name overnight.
1007,John Cleese,And how far has he got?
1008,Michael Palin,Er* well* he's quite far now* Dave* well on the way. Well on the way* yeah.
1009,John Cleese,Well where is he exactly?
1010,Michael Palin,Yeah.
1011,John Cleese,Where?
1012,Michael Palin,Oh* er* well* er* you know* it's difficult to say exactly. He's er* you know* in the area of er* Ron* how far have you got?
1013,Michael Palin,Yeah well keep digging lad* keep digging.
1014,John Cleese,Er* Mr Verccotti* what do you say to people who accuse you of exploiting Ron for your own purposes?
1015,Michael Palin,Well* it's totally untrue* David. Ever since I left Sicily I've been trying to do the best for Ron. I know what Ron wants to do* I believe in him and I'm just trying to create the opportunities for Ron to do the kind of things he wants to do.
1016,John Cleese,And what's he going to do today?
1017,Michael Palin,He's going to split a railway carriage with his nose.
1018,Michael Palin,The only difficult bit for Ron is getting out of the Earth's atmosphere. Er* once he's in orbit he'll be able to run straight to Mercury.
1019,Michael Palin,I am now extremely hopeful that Ron will break the world record for remaining underground. He's a wonderful boy this* he's got this really enormous talent* this really huge talent.
1020,John Cleese,Good morning* I'd like to buy a cat.
1021,Michael Palin,Certainly sir. I've got a lovely terrier.
1022,John Cleese,No* I want a cat really.
1023,Michael Palin,Oh yeah* how about that?
1024,John Cleese,No* that's the terrier.
1025,Michael Palin,Well* it's as near as dammit.
1026,John Cleese,Well what do you mean? I want a cat.
1027,Michael Palin,Listen* tell you what. I'll file its legs down a bit* take its snout out* stick a few wires through its cheeks. There you are* a lovely pussy cat.
1028,John Cleese,Its not a proper cat.
1029,Michael Palin,What do you mean?
1030,John Cleese,Well it wouldn't meow.
1031,Michael Palin,Well it would howl a bit.
1032,John Cleese,No* no* no* no. Er* have you got a parrot?
1033,Michael Palin,No* I'm afraid not actually guv* we're fresh out of parrots. I'll tell you what though ... I'll lop its back legs off* make good* strip the fur* stick a couple of wings on and staple on a beak of your own choice.
1034,Michael Palin,No problem. Lovely parrot.
1035,John Cleese,How long would that take?
1036,Michael Palin,Oh* let me see ... er* stripping the fur off* no legs ...
1037,Michael Palin,Harry ... can you do a parrot job on this terrier straight away?
1038,Michael Palin,Friday?
1039,John Cleese,No I need it for tomorrow. It's a present.
1040,Michael Palin,Oh dear* it's a long job. You see parrot conversion ... Tell you what though* for free* terriers make lovely fish. I mean I could do that for you straight away. Legs off* fins on* stick a little pipe through the back of its neck so it can breathe* bit of gold paint* make good ...
1041,John Cleese,You'd need a very big tank.
1042,Michael Palin,It's a great conversation piece.
1043,John Cleese,Yes* all right* all right ... but* uh* only if I can watch.
1044,John Cleese,Oh* I thought that was a bit predictable.
1045,John Cleese,Dear David Jacobs* East Grinstead* Friday. Why should I have to pay sixty-four guineas each year for my television licence when I can buy one for six. Yours sincerely* Captain R. H. Pretty. PS Support Rhodesia* cut motor taxes* save the Argylls* running-in please pass.
1046,Michael Palin,Dear Old Codgers* I am President of the United States of America* Yours truly* R. M. Nixon.
1047,Michael Palin,What's that* Vera?
1048,Michael Palin,Righto.
1049,John Cleese,Vera! How dare you!
1050,John Cleese,What's the meaning of this?
1051,John Cleese,Who is this?
1052,John Cleese,How do you do ...
1053,John Cleese,How could you do this to me* Vera ... after all we've been through? Dammit* I love you.
1054,Michael Palin,What's happening* Vera?
1055,John Cleese,Come to me Vera!
1056,Michael Palin,Yes ... right and right again.
1057,Michael Palin,Vera!
1058,Michael Palin,I distinctly heard a Mexican rhythm combo.
1059,Michael Palin,Hm. Well I'm going for a tinkle.
1060,John Cleese,I say. There's no one to react to.
1061,John Cleese,Oh sorry.
1062,Michael Palin,Sh! I think my wife is beginning to suspect something...
1063,Michael Palin,It's...
1064,John Cleese,MONTY PYTHON'S FLYING CIRCUS'
1065,Michael Palin,Have you finished in there yet?
1066,John Cleese,Dear Sir* I object strongly to the obvious lavatorial turn this show has already taken. Why do we never hear about the good things in Britain* like Mary Bignall's wonderful jump in 1964? Yours etc.* Ken Voyeur.
1067,Michael Palin,Dear Sir* I object strongly to the letters on your programme. They are clearly not written by the general public and are merely included for a cheap laugh. Yours sincerely etc.* William Knickers.
1068,John Cleese,This house is surrounded. I'm afraid I must not ask anyone to leave the room. No* I must ask nobody ... no* I must ask everybody to... I must not ask anyone to leave the room. No one must be asked by me to leave the room. No* no one must ask the room to leave. I ... I ... ask the room shall by someone be left. Not. Ask nobody the room somebody leave shall I. Shall I leave the room? Everyone must leave the room... as it is... with them in it. Phew. Understand?
1069,John Cleese,Allow me to introduce myself. I'm afraid I must ask that no one leave the room. Allow me to introduce myself. I'm Inspector Tiger.
1070,John Cleese,Where? Where? What? Ah. Me Tiger. You Jane. Grrr. Beg your pardon* allow me to introduce myself I'm afraid I must ask that no one leave the room.
1071,John Cleese,Elementary. Since the body was found in this room* and no one has left it. Therefore ... the murderer must be somebody in this room.
1072,John Cleese,Somebody. In this room. Must the murderer be. The murderer of the body is somebody in this room* which nobody must leave... leave the body in the room not to be left by anybody. Nobody leaves anybody or the body with somebody. Everybody who is anybody shall leave the body in the room body. Take the tablets Tiger. Anybody
1073,John Cleese,Albody me introbody albodyduce.
1074,John Cleese,That's better* now I'm Inspector Tiger and I must ask that nobody leave the room.
1075,John Cleese,Now someone has committed a murder here* and that murderer is someone in this room. The question is ... who?
1076,John Cleese,No murder.
1077,John Cleese,Oh. I don't like it. It's too simple* too clear cut. I'd better wait.
1078,John Cleese,No* too simple* too clear cut.
1079,Michael Palin,Right* sir. Nobody leave the room ask shall - somebody I leave nobody in the room body shall* take the tablets Tigerbody. Alself me to my duce introlow left body in the roomself.
1080,John Cleese,Good evening Brian.
1081,John Cleese,Well Brian... I'm opening a boutique.
1082,John Cleese,I hit the ball first time and there it was in the back of the net.
1083,Michael Palin,Hello* good evening* and welcome to yet another edition of 'Interesting People'. And my first interesting person tonight is the highly interesting Mr Howard Stools from Kendal in Westmorland.
1084,Michael Palin,Good evening Mr Stools.
1085,Michael Palin,Mr Stools* what makes you particularly interesting?
1086,Michael Palin,Well that's
1087,Michael Palin,interesting* thank you for coming along on the show tonight Mr Stools.
1088,Michael Palin,Our next guest tonight has come all the way from Egypt* he's just flown into London today* he's Mr Ali Bayan* he's with us in the studio tonight and he's stark raving mad.
1089,Michael Palin,Mr Ali Bayan* stark raving mad. Now it's time for our music spot and we turn the spotlight tonight on the Rachel Toovey Bicycle Choir*
1090,Michael Palin,with their fantastic arrangement of 'Men of Harlech' for bicycle bells only.
1091,Michael Palin,The Rachel Toovey Bicycle Choir. Really interesting. Remember* if you're interesting and want to appear on this programme* write your name and address and your telephone number and send it to this address:
1092,Michael Palin,Thank you* thank you. Now here's an interesting person. Apart from being a full-time stapling machine* he can also give a cat influenza.
1093,Michael Palin,Well* you can't get much more interesting than that* or can you? With me now is Mr Thomas Walters of West Hartlepool who is totally invisible. Good evening* Mr Walters.
1094,Michael Palin,Mr Walters* are you sure you're invisible?
1095,Michael Palin,Well* Mr Walters* what's it like being invisible?
1096,Michael Palin,Well* whilst we've got interesting people* we met Mr Oliver Cavendish who...
1097,Michael Palin,Mr Oliver Cavendish of Leicester* who claims to be able to recite the entire Bible in one second* whilst being struck on the head with a large axe. Ha* ha* wow. We've since discovered that he was a fraud* yes a fraud* he did not in fact recite the entire Bible he merely recited the first two words* 'In the...' before his death.
1098,Michael Palin,Now it's time for 'Interesting Sport'* and this week it's all-in cricket* live from the Municipal Baths* Croydon.
1099,Michael Palin,With me now is Mr Ken Dove* twice voted the most interesting man in Dorking. Ken* I believe you're interested in shouting.
1100,John Cleese,Yes* I'm interested in shouting all right* by jove you certainly hit the nail on the head with that particular observation of yours then.
1101,Michael Palin,What does your wife think of this?
1102,John Cleese,Shut up!
1103,Michael Palin,That is Tiddles* I believe?
1104,Michael Palin,Yes* and what does she do?
1105,Michael Palin,By herself?
1106,Michael Palin,Well that's extremely interesting* Ladies and gentlemen - Mr Don Savage and Tiddles.
1107,John Cleese,I'm more interesting than a wet pussycat.
1108,Michael Palin,Yes* great* well now for the first lime on television 'Interesting People' brings you a man who claims he can send bricks to sleep by hypnosis. Mr Keith Maniac from Guatemala.
1109,Michael Palin,Keith* you claim you can send bricks to sleep.
